"DATA","SPEI_3"
"abr-50",1.12955
"jun-50",1.13419
"jul-50",1.27856
"ago-50",1.52431
"sep-50",1.09871
"ene-51",1.18011
"feb-51",1.58215
"mar-51",1.53329
"abr-51",1.93282
"oct-51",1.08071
"sep-52",1.08525
"oct-52",1.80619
"nov-52",1.06528
"dic-52",1.16881
"feb-53",1.46292
"mar-53",1.49763
"jul-54",1.22617
"ago-54",1.10924
"sep-54",1.17639
"ene-55",1.14186
"feb-55",1.11195
"mar-55",1.69915
"may-55",-1.01844
"jun-55",-1.10097
"ene-56",1.48272
"feb-56",1.25931
"mar-56",1.83541
"may-56",1.06557
"jul-56",1.30971
"feb-57",-1.2095
"abr-57",-1.11185
"may-57",-1.78273
"jun-57",-2.18995
"jul-57",-2.21003
"ago-57",-1.51807
"dic-58",-1.34191
"ene-59",-1.48849
"feb-59",-1.41934
"may-59",-1.08145
"jul-59",-1.2217
"feb-60",1.36687
"abr-60",1.32136
"may-60",1.59462
"jun-60",1.25284
"dic-60",1.57969
"ene-61",1.19465
"feb-61",1.14523
"mar-61",-1.04137
"may-61",-1.06488
"feb-63",1.17468
"mar-63",1.26341
"dic-63",-1.05775
"feb-64",-1.54694
"mar-64",-1.65811
"dic-64",-1.11341
"abr-65",-1.61741
"ago-65",-1.13678
"sep-65",-1.21243
"nov-65",1.37009
"mar-66",-1.09388
"nov-66",1.72584
"dic-66",1.60332
"ene-67",1.47482
"ago-67",1.41379
"sep-67",1.33787
"nov-67",1.034
"dic-68",-1.06505
"ene-69",-1.48805
"feb-69",-1.27599
"jun-69",-1.07839
"jul-69",-1.00794
"ago-69",-1.1035
"ene-70",1.11502
"feb-70",1.55245
"mar-70",1.84042
"abr-70",1.2029
"may-70",1.29794
"dic-70",1.20573
"ene-71",1.50482
"feb-71",1.46074
"mar-71",1.42041
"ago-71",1.04659
"dic-71",-1.69084
"mar-72",1.70146
"abr-72",1.04162
"jul-72",-1.16836
"ago-72",-1.03869
"sep-72",-1.06504
"nov-72",-1.09213
"dic-72",-1.48678
"ene-73",-1.53836
"abr-73",-1.53731
"may-73",-1.1851
"nov-73",1.04632
"may-74",-1.18961
"may-75",-1.31862
"jun-75",-1.27778
"ago-75",1.23283
"sep-75",1.42715
"oct-75",1.75073
"nov-75",1.39944
"dic-75",1.55346
"jul-76",-1.36394
"ago-76",-1.43425
"sep-76",-2.18568
"ene-77",-1.08211
"abr-78",1.19532
"oct-79",1.35147
"nov-79",1.01063
"abr-81",2.19364
"may-81",2.06929
"jun-81",2.1539
"jul-81",1.37537
"ago-81",1.28436
"sep-81",1.30655
"dic-81",1.3145
"ene-82",1.80818
"feb-82",1.6673
"mar-82",1.20409
"jun-82",-1.58692
"jul-82",-1.00745
"ago-82",-1.22269
"dic-82",-1.76696
"ene-83",-2.0014
"feb-83",-1.79319
"mar-83",-2.06949
"abr-83",-2.05096
"may-83",-1.33259
"jun-83",-1.14818
"jul-83",-1.34705
"ago-83",-1.34208
"sep-83",-1.47944
"oct-83",-1.0114
"abr-85",-1.09134
"jul-86",-1.47108
"ago-86",-1.41713
"sep-86",-1.31138
"ene-87",-1.48011
"nov-87",-1.28472
"ene-88",-1.2622
"mar-88",-1.21999
"abr-88",-1.19571
"ago-88",1.26815
"sep-88",1.57582
"oct-88",2.02766
"nov-88",1.34848
"abr-89",-1.03261
"may-89",-1.79525
"jun-89",-2.01304
"jul-89",-1.26935
"ago-90",1.08504
"nov-90",-1.18147
"mar-92",-1.32546
"jun-92",-1.27593
"jul-92",-1.00552
"oct-92",-1.36145
"nov-92",-2.08544
"dic-92",-2.2921
"ene-93",-1.45651
"ago-94",-1.04353
"nov-94",1.13149
"feb-95",-1.1495
"abr-95",1.57438
"may-95",1.88283
"jun-95",2.18666
"jul-95",2.1166
"ago-95",2.226
"sep-95",2.30762
"oct-95",1.4341
"may-97",-1.22556
"jun-97",-1.11934
"jul-97",-1.48965
"oct-97",1.46705
"nov-97",1.07836
"mar-98",-1.46725
"abr-98",-1.46009
"jul-98",1.28762
"ago-98",1.22205
"sep-98",1.11315
"dic-98",1.38777
"ene-99",1.74748
"feb-99",1.61267
"mar-99",1.00981
"jun-99",1.19582
"jul-99",1.49719
"ago-99",1.44137
"oct-99",-1.11866
"dic-99",1.71757
"ene-00",1.66388
"feb-00",1.84524
"ago-00",-1.02086
"sep-00",-1.35058
"oct-00",-2.68199
"jun-01",-1.07182
"ago-01",-1.65103
"ene-02",1.01882
"feb-02",1.60895
"mar-02",1.92363
"dic-02",-1.36481
"feb-03",-1.35679
"ago-03",-1.46808
"sep-03",-1.94723
"oct-03",-2.06846
"ago-04",-1.05366
"may-05",1.06843
"jul-05",1.18125
"ago-05",1.35974
"sep-05",1.6222
"oct-05",1.17892
"mar-06",1.99022
"abr-06",2.03653
"may-06",1.84614
"jun-06",2.0833
"jul-06",2.08175
"ago-06",1.2555
"nov-06",1.12268
"may-07",1.76387
"jun-07",1.31255
"oct-07",1.52242
"may-08",1.56591
"jul-08",1.37538
"nov-08",1.3081
"jun-09",1.90514
"jul-09",1.95208
"ago-09",1.12697
"sep-09",-1.00957
"nov-09",1.2903
"feb-10",-1.3546
"jul-10",1.46667
"ago-10",2.04077
"sep-10",2.46608
"oct-10",2.68616
"nov-10",2.88514
"dic-10",2.76338
"ene-11",2.41371
"feb-11",1.92947
"mar-11",1.09801
"abr-11",2.00172
"may-11",1.88851
"jun-11",1.44813
"sep-11",-1.2165
"oct-11",-1.50005
"abr-12",1.27561
"may-12",1.19057
"jun-12",1.13692
"oct-12",-1.41799
"nov-12",-2.17406
"dic-12",-1.1406
"ene-13",-1.37447
"may-13",-1.62746
"jun-13",-1.22213
"sep-13",-1.08867
"oct-13",-2.5878
"nov-13",-2.14519
"dic-13",-1.1481
"feb-14",-1.12528
"mar-14",-2.98024
"abr-14",-3.15709
"ago-14",-2.9545
"sep-14",-3.20491
"oct-14",-1.74203
"mar-15",-2.36614
"abr-15",-2.67063
"may-15",-2.64894
"jun-15",-2.29183
"jul-15",-2.72199
"ago-15",-2.5308
"sep-15",-1.88366
"oct-15",-1.41116
"dic-15",-1.05352
"mar-16",-2.37109
"abr-16",-1.29615
"may-16",-2.52941
"jun-16",-2.22351
"jul-16",-2.8766
"ago-16",-2.23497
"sep-16",-2.13555
"oct-16",-1.6039
"abr-17",-1.19485
"jun-17",-1.77167
"jul-17",-1.76109
"ago-17",-2.69025
"sep-17",-2.85555
"oct-17",-1.7114
"nov-17",-1.33835
"dic-17",-1.4459
"feb-18",1.48656
"mar-18",2.24809
"jul-18",1.27523
"sep-18",1.33164
"nov-18",1.01688
"feb-19",-2.01782
"mar-19",-3.90855
"abr-19",-3.61703
"may-19",-1.65616
"jun-19",-1.30566
"jul-19",-1.14097
"ago-19",-2.37281
"sep-19",-3.0014
"oct-19",-2.07263
"mar-20",-1.55026
"abr-20",-1.02976
"jun-20",-1.20665
"jul-20",-1.66511
"ago-20",-2.06252
"sep-20",-1.19436
"nov-20",1.74001
"dic-20",1.26173
"ene-21",1.40882
"mar-21",1.09349
"abr-21",2.15937
"may-21",1.43999
"jul-21",-1.02214
"oct-21",-1.37787
"nov-21",-2.27483
"jun-22",1.35023
"jul-22",1.15341
"ago-22",1.77731
"sep-22",1.5442
"oct-22",1.02415
"abr-23",-1.79478
"may-23",-2.73369
"jun-23",-3.03122
"jul-23",-2.66089
"ago-23",-2.89916
"sep-23",-4.3917
"oct-23",-5
"nov-23",-1.41321
"ene-24",-1.31498
"feb-24",-2.30157
"mar-24",-5
"abr-24",-1.38206
"jun-24",3.24503
"jul-24",3.03119
"ago-24",2.95537
