"DATA","SPEI_3"
"ene-51",1.3864
"jun-51",1.09576
"ago-51",1.51222
"oct-51",1.6106
"dic-51",2.14832
"ene-52",1.49549
"feb-52",1.45688
"may-52",1.03215
"feb-54",-1.68883
"ago-55",1.13052
"ene-56",1.37118
"feb-56",1.26528
"nov-56",-1.143
"feb-57",1.17127
"abr-57",2.00407
"may-57",2.28816
"jun-57",2.32753
"jul-57",1.91873
"ago-57",1.11953
"oct-57",1.08102
"feb-58",-1.20031
"abr-58",1.08579
"may-58",1.29203
"jun-58",1.01072
"feb-59",1.17583
"abr-59",1.1002
"may-59",1.14423
"oct-59",1.70745
"nov-59",1.76083
"ene-60",-1.6558
"abr-61",1.21519
"may-61",1.41138
"jun-61",1.09715
"jul-61",1.61886
"ago-61",1.68341
"sep-61",2.7182
"oct-61",2.16764
"nov-61",1.94858
"feb-62",1.29535
"ago-63",1.63675
"sep-63",1.08738
"oct-63",1.0201
"dic-63",-1.47769
"ene-64",-1.1117
"feb-65",1.1612
"jun-65",1.22674
"jul-65",1.83315
"ago-65",1.91094
"sep-65",1.87053
"ene-66",-1.01061
"mar-66",-1.17504
"may-67",1.07739
"jun-67",1.69658
"jul-67",1.99524
"ago-67",2.30062
"sep-67",1.67088
"oct-67",1.29461
"jun-69",1.79652
"jul-69",1.81049
"ago-69",1.18339
"oct-69",1.73629
"nov-69",1.87423
"dic-69",2.43073
"mar-70",1.1567
"sep-70",1.06829
"oct-70",1.60908
"nov-70",1.92767
"dic-70",1.34532
"abr-71",1.89087
"may-71",1.26871
"sep-71",1.16443
"oct-71",1.23471
"nov-71",1.26999
"oct-72",1.10533
"dic-72",1.28437
"abr-73",1.33992
"may-73",1.46815
"jun-73",1.06857
"sep-73",1.02576
"nov-73",1.09221
"dic-73",1.05041
"ene-74",1.71325
"may-75",1.24562
"jun-75",1.19434
"jul-75",1.21013
"sep-76",1.2374
"oct-76",1.25063
"ene-77",-1.77501
"feb-77",-1.927
"mar-77",-1.21232
"sep-77",1.24113
"dic-78",1.15421
"ene-79",1.15982
"feb-79",1.57542
"mar-79",1.10605
"may-79",1.09682
"jun-79",1.0479
"jul-79",1.00778
"dic-79",1.03664
"ene-80",2.39302
"feb-80",2.18895
"mar-80",1.86636
"ago-80",-1.3188
"ene-81",-1.11669
"feb-81",-2.01017
"abr-81",-1.0517
"jun-82",1.10454
"jul-82",1.59191
"sep-82",1.4465
"oct-82",1.21049
"nov-82",1.25965
"feb-83",-1.09871
"mar-83",1.53837
"abr-83",2.26862
"may-83",2.15241
"jun-83",1.78997
"jul-83",1.58562
"ago-83",1.13199
"dic-83",1.49925
"ene-84",1.94806
"abr-84",1.43146
"ago-84",1.5666
"sep-84",1.47208
"oct-84",1.82693
"nov-84",1.37071
"dic-84",1.43036
"nov-85",1.78814
"dic-85",1.56602
"mar-86",-1.08401
"nov-86",1.28265
"dic-86",1.47233
"ene-88",1.30965
"feb-88",1.05
"mar-88",1.06993
"feb-89",1.83611
"mar-90",2.19243
"abr-90",1.02102
"jun-90",-1.09688
"feb-91",-1.06866
"mar-91",-1.06367
"abr-91",-1.11276
"feb-92",-1.86508
"mar-92",1.13134
"oct-92",-1.01888
"nov-92",-1.15117
"nov-93",1.33813
"may-94",-1.43758
"jun-94",-1.40297
"jul-94",-1.73252
"ago-94",-1.23884
"sep-94",-1.42777
"oct-94",-1.09157
"may-95",1.70989
"jun-95",2.02557
"jul-95",1.78899
"ene-96",1.10775
"feb-96",1.39401
"mar-96",1.62684
"ene-97",1.04187
"feb-97",1.17538
"sep-97",1.04565
"oct-97",1.15683
"sep-98",-1.13664
"mar-99",-1.25269
"nov-99",-1.13771
"dic-99",-2.00677
"ene-00",-1.31484
"abr-00",-1.00438
"may-00",-1.38489
"jun-00",-1.48661
"jul-00",-1.55092
"ago-00",-1.33951
"jul-01",-1.07731
"ago-01",-1.16883
"oct-01",-1.16468
"nov-01",-1.49551
"dic-01",-1.73751
"abr-02",-1.79865
"may-02",-1.31111
"jun-02",-1.68923
"jul-02",-1.5918
"ago-02",-1.77961
"sep-02",-1.37919
"mar-03",2.35408
"abr-03",1.46999
"sep-03",-1.32398
"oct-03",-1.38678
"nov-03",-1.57804
"dic-03",-1.51185
"mar-04",-1.88431
"abr-04",-1.33388
"may-04",-1.54307
"ago-04",1.45064
"sep-04",1.30472
"sep-05",-1.7343
"nov-05",-1.07886
"abr-06",-1.5591
"may-06",-1.65649
"jun-06",-2.16364
"jul-06",-1.61255
"ago-06",-1.40149
"dic-06",1.15733
"feb-07",1.52225
"abr-07",-1.14598
"may-07",-1.18761
"jun-07",-1.45049
"jul-07",-1.57514
"ago-07",-1.30749
"feb-08",1.06388
"abr-08",-1.40022
"may-08",-1.12615
"jun-08",-1.07335
"jul-08",-1.43954
"nov-08",-1.25922
"dic-08",-1.85808
"ene-09",-1.57192
"mar-09",-1.59249
"ene-10",-1.12058
"mar-10",-1.06663
"jul-10",-1.08394
"ago-10",-1.28729
"sep-10",-1.91764
"oct-10",-2.25275
"nov-10",-1.94072
"mar-11",-1.49738
"abr-11",-1.3308
"ago-11",-1.51086
"sep-11",-1.73905
"oct-11",-1.9993
"nov-11",-1.25167
"dic-11",-1.20671
"ene-12",-1.63912
"feb-12",-1.38648
"mar-12",-2.37099
"abr-12",-2.56515
"may-12",-2.59841
"jun-12",-2.08764
"jul-12",-1.86329
"ago-12",-1.7941
"sep-12",-1.84606
"oct-12",-1.96891
"nov-12",-1.66909
"dic-12",-1.95618
"ene-13",-2.1887
"feb-13",-1.66324
"mar-13",-1.47529
"may-13",-1.15722
"jun-13",-1.54922
"jul-13",-2.00219
"ago-13",-1.82248
"abr-14",-1.29974
"feb-15",1.1506
"sep-15",-1.54268
"oct-15",-1.56343
"dic-15",1.16417
"ene-16",1.8702
"feb-16",1.41959
"jul-16",-1.02444
"ago-16",-1.53672
"sep-16",-1.72543
"oct-16",-1.85905
"nov-16",-1.97008
"dic-16",-1.38317
"feb-17",1.81005
"jul-17",-1.08967
"ago-17",-1.48401
"sep-17",-1.0611
"jun-18",-1.27665
"jul-18",-1.40172
"ago-18",-1.38892
"sep-18",-1.55604
"dic-18",1.13338
"ene-19",1.19027
"feb-19",2.30943
"mar-19",3.39197
"abr-19",3.06679
"may-19",2.24637
"jun-19",1.39567
"ago-19",-1.06792
"sep-19",-1.91589
"oct-19",-1.63274
"dic-19",1.98148
"ene-20",2.32889
"feb-20",1.48947
"may-20",-1.0869
"jun-20",-1.41987
"jul-20",-1.51954
"ago-20",-1.77867
"sep-20",-1.96589
"oct-20",-2.06282
"nov-20",-1.48938
"feb-21",1.18329
"mar-21",1.56626
"jul-21",-1.08609
"ago-21",-1.73991
"sep-21",-2.07495
"oct-21",-1.87402
"nov-21",-1.93794
"feb-22",1.68579
"mar-22",1.22173
"jun-22",-1.35484
"jul-22",-1.18294
"ago-22",-1.5929
"sep-22",-1.41638
"oct-22",-1.55318
"nov-22",-1.00802
"ene-23",1.86136
"feb-23",2.16426
"mar-23",1.22441
"oct-23",-1.05971
"nov-23",-1.25053
"feb-24",1.71951
"mar-24",1.68802
"jun-24",-1.30299
"jul-24",-1.67298
"ago-24",-1.62184
"sep-24",-1.70478
"oct-24",-1.91022
